node,name
2776,Mahalaxmi
2777,Mahalaxmi
2787,Water Pipe
2788,Jumma Patti
2794,Thane
2819,Dadar
2822,Prabhadevi
2832,Virpur
2833,Gomta
2842,Chitravad
2847,Kottikkulam
2848,Miryalaguda
2850,Baghajatin
2851,Ballygunge Junction
2852,Bevinahalu
2854,Talaiyuthu
2855,Gangaikondan
2863,Tavargatti
2865,Kashanatti
2867,Navalur
2869,Unkal
2872,Amargol
2878,Saunshi
2882,Desur
2883,Gokak Road
2884,Ghataprabha
2894,Shenoli
2898,Shirvade
2907,Hitnal
2911,Kanginhal
2917,Hebsur
2918,Sisvinhalli
2922,Yaragoppa
2928,Kadlimatti
2929,Jadarama Kunti
2930,Sitimani
2931,Kudala Sangama
2934,Benal
2937,Kudgi
2938,Jumnal
2940,Doddasiddavanhalli
2942,Balenahalli
2975,Hooghly Ghat
2976,Hooghly
2985,New Alipore
2989,Serampore
2992,Belur
2993,Hind Motor
2994,Konnagar
2995,Rishra
2996,Singur
3003,Samudhravalli
3004,Amila
3008,Arjunahalli
3009,Akkihebbalu
3010,Sravanur
3011,Mandagere
3026,Jammu Tawi
3037,Sangar
3041,Khadki
3053,Vyasarpadi Jeeva
3054,Perambur
3055,Anupalem
3059,Vajirabad
3075,Malavi
3077,Bopodi
3079,Isivi
3082,Chiksugur
3083,Lingeri
3091,Tin Mile Hat
3095,Nijbari
3108,Srirampura
3110,Malleswaram
3111,Mantri Square Sampige Road
3118,Bale
3124,Sulerjavalge
3125,Nagansur
3128,Kurgunta
3141,Anandtandavpur
3146,Tiruchchuli
3149,Tirunelveli Town
3150,Kanniyakumari
3151,Ratanpura
3155,Tuticorin
3159,Aduturai
3161,Bodinayakkanur
3162,Usilampatti
3163,Tirunageswaram
3165,Kollengode
3166,Oddanchatram
3168,Muthalamada
3171,Akkaraipatti
3174,Kinathukadavu
3184,Pudi
3189,Ichchiputtur
3190,Venkatagiri
3197,Bitragunta
3198,Chinnakotte
3199,Dalasanur
3203,Bageshapura
3204,Narimogaru
3218,Bhadravati
3223,Shivamogga - SME
3240,Cheranmahadevi
3241,Koyilvenni
3242,Mannargudi
3243,Ammapet
3244,Cheppad Halt Station
3264,Kolanukonda
3272,Kesavaram
3273,Godavari
3274,Velpuru
3279,Kalagapura
3280,Kamalnagar
3287,Bommaipalli
3294,Mahbubnagar Town
3309,Kakiriguma
3312,Singaram
3316,Netranahalli
3317,Angadipuram Raiway Station
3321,Vallapuzha
3325,Sokali
3327,Devaliya
3329,Surendranagar Gate
3333,Daladi
3343,Golakganj Junction
3345,New Mal Junction
3356,Falakata
3364,Rangiya Junction
3365,Barahu
3366,Nailalung railway station
3375,Simaluguri Junction
3377,Seleng Hat
3378,Sarupathar
3379,Dibrugarh Town
3380,Sapekhati
3381,Naojan
3383,Furkating Junction
3384,New Tinsukia Junction
3386,Jirania
3388,Murkongselek
3391,Jogendranagar
3392,Pulakurthi
3396,Kirihrapur
3407,Bhitaura
3411,Kanth
3416,Mahrani Pachhim
3418,Bahadurpur
3422,Dhaneta
3423,Moradabad Junction
3424,Algawan
3425,Anjhi Shahabad
3429,Reoti
3430,Goldinganj
3449,Lelligumma
3463,Vanchanagiri
3470,Raghunathpur
3471,Bagadia
3473,Badabandha
3474,Gorakhnath
3483,Vavadi Khurd
3484,Tuwa
3488,Tisi
3489,Bhadbhunja
3490,Lakodra
3497,Jabri
3509,Na Nadi
3514,Kathunangal
3516,Sohal
3523,Jogighopa
3524,Mariani Junction
3527,Damodar
3530,Garh Dhrubeswar
3531,Andal Junction
3532,Burnpur
3535,Kulti
3537,Chhota Ambana
3539,Akaipur
3545,Husainiwala
3550,Dhubri
3558,Paldhi
3571,sringavruksham
3582,Barwa Sagar
3584,Orchha
3586,Rora
3588,Nivari
3595,Rangapuram
3601,Tummanamgutta
3602,Piler Town
3608,Dhengli Pimpalgaon
3610,Pergaon
3625,Murud
3627,Karepur
3630,Pangaon
3633,Kuslamb
3634,Neoli
3635,Murti
3638,Barsitakli
3639,Bolda
3643,Jaulka
3649,Daund Junction
3655,Nimbhora
3658,Kovvada
3659,Kotipalli
3660,Ramachandrapuram
3662,Kunduru
3663,Jaggayyapeta Town
3672,Bhairoganj
3675,Khadda
3676,Babupur
3679,Maikalganj
3680,Bilpur
3682,Maghar
3685,Maskanwa
3688,Govindnagar
3689,Jarwal Road
3691,Valmikinagar Road
3693,Siswa Bazar
3694,Baruachak
3697,Kutchehari
3699,Gonda Junction
3700,Harinagar
3701,Babhnan
3703,Bagaha
3705,Bettiah
3706,Majhowalia
3709,S Narayan Chhapia
3710,Rampur Junction
3711,Ghughuli
3712,Colonelganj
3715,Nagaria Sadat
3716,Domingarh
3718,Pipraich
3723,Balurghat
3731,Dangari
3733,Hansara
3736,Barsali
